iter	Passed	Remaining
0	1	114
1	2	104
2	3	99
3	3	95
4	4	94
5	6	94
6	7	94
7	8	92
8	9	91
9	10	90
10	11	89
11	12	88
12	12	86
13	13	85
14	14	84
15	15	82
16	16	81
17	17	79
18	18	78
19	19	77
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	69
28	28	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	76	15
83	78	14
84	79	13
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
