iter	Passed	Remaining
0	134	134615
1	135	67717
2	136	45366
3	137	34184
4	138	27480
5	138	23003
6	139	19805
7	140	17417
8	141	15562
9	142	14080
10	143	12877
11	144	11862
12	144	11004
13	145	10269
14	146	9630
15	147	9068
16	148	8574
17	149	8135
18	149	7740
19	150	7383
20	151	7060
21	152	6767
22	153	6499
23	153	6253
24	154	6027
25	155	5818
26	156	5627
27	157	5450
28	157	5286
29	158	5132
30	159	4987
31	160	4852
32	161	4724
33	162	4604
34	162	4491
35	163	4384
36	164	4283
37	165	4187
38	166	4095
39	167	4008
40	167	3925
41	168	3846
42	169	3771
43	170	3699
44	171	3631
45	171	3566
46	172	3504
47	173	3444
48	174	3387
49	175	3331
50	176	3278
51	176	3226
52	177	3176
53	178	3129
54	179	3084
55	180	3039
56	181	2996
57	181	2954
58	182	2914
59	183	2874
60	184	2836
61	185	2801
62	186	2767
63	187	2735
64	187	2704
65	188	2673
66	189	2642
67	190	2613
68	191	2584
69	192	2555
70	193	2529
71	194	2502
72	194	2475
73	195	2449
74	196	2424
75	197	2399
76	198	2375
77	198	2351
78	199	2328
79	200	2306
80	201	2285
81	202	2265
82	202	2240
83	203	2220
84	204	2201
85	205	2182
86	206	2163
87	206	2144
88	207	2127
89	208	2109
90	209	2092
91	210	2074
92	211	2058
93	211	2041
94	212	2025
95	213	2009
96	214	1993
97	215	1979
98	215	1964
99	216	1950
100	217	1936
101	218	1922
102	219	1909
103	220	1896
104	220	1883
105	221	1870
106	222	1857
107	223	1844
108	224	1833
109	225	1820
110	225	1808
111	226	1796
112	227	1784
113	228	1772
114	228	1761
115	229	1750
116	230	1738
117	231	1728
118	232	1717
119	232	1707
120	233	1698
121	234	1687
122	235	1677
123	236	1668
124	237	1659
125	237	1649
126	238	1639
127	239	1630
128	240	1621
129	240	1612
130	241	1603
131	242	1594
132	243	1586
133	244	1578
134	245	1569
135	245	1562
136	246	1554
137	247	1547
138	248	1539
139	249	1531
140	250	1524
141	250	1514
142	251	1507
143	252	1499
144	253	1493
145	254	1486
146	254	1478
147	255	1471
148	256	1464
149	257	1458
150	258	1451
151	258	1444
152	259	1438
153	260	1432
154	261	1427
155	262	1421
156	263	1415
157	264	1409
158	265	1402
159	265	1396
160	266	1388
161	267	1382
162	268	1377
163	269	1371
164	269	1365
165	270	1360
166	271	1354
167	272	1348
168	273	1343
169	274	1337
170	274	1332
171	275	1327
172	276	1322
